client_hash_id,content_hash_id,search_volume,competition,competition_level,cpc,char_count,main_intent,keyword_char_count,keyword_token_count,url_char_count,backlinks,category_count,word_count,content_type,provider_used,model_used,content_created_date,content_updated_date,content_age_days,days_since_last_update
client_ccdd78843409c8c7,content_011fbefa7aa02126,40,0.01,LOW,0.0,19968,informational,45,7,97,325,2,2834,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_01d35f449f93cf8d,10,0.06,LOW,0.0,19004,commercial,34,6,103,31,8,2674,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0224559ef129d4cd,10,0.29,LOW,0.0,19426,commercial,37,6,105,0,5,2799,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_024fb066015e0218,10,0.61,MEDIUM,11.01,18795,informational,35,6,97,0,10,2672,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_028ea0e57b7919e0,10,0.17,LOW,0.0,20302,navigational,42,6,106,436,5,2807,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_02d318b34283431a,0,0.0,LOW,0.0,20897,informational,33,5,96,0,0,3006,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_030f9628cae8e860,10,0.25,LOW,0.0,20532,informational,33,6,103,0,5,2992,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0380c69981691d59,0,0.0,LOW,0.0,18654,informational,38,7,99,0,0,2681,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_06763f21d8655aa4,0,0.0,LOW,0.0,20346,informational,31,5,96,0,0,2942,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_06acb3c75ac0add0,10,0.05,LOW,0.0,21895,navigational,35,6,100,0,5,3076,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_07ce9e8f3d338c14,20,0.57,MEDIUM,0.0,20331,commercial,32,7,99,585,5,2829,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0832093d5fa10008,10,0.05,LOW,0.0,20264,commercial,40,8,102,0,8,2906,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-06-01,134,29
client_ccdd78843409c8c7,content_08b46d789d334f7b,30,0.0,LOW,0.0,18201,informational,30,5,105,83,5,2572,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_08f05dea96c18ef2,10,0.39,MEDIUM,0.0,17606,informational,36,5,102,0,10,2598,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_094a85e7821fc587,10,0.0,LOW,0.0,20014,commercial,32,4,93,0,8,2892,keyword article,google,gemini-3-flash-preview,2026-03-12,2026-05-20,110,41
client_ccdd78843409c8c7,content_095ae0dde677dfe0,0,0.0,LOW,0.0,20320,informational,34,6,103,0,0,2957,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_0a07ff1a0f67c73d,10,0.0,LOW,0.0,19745,commercial,46,8,96,0,10,2724,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-06-01,134,29
client_ccdd78843409c8c7,content_0a48b6e49f81cd95,40,0.27,LOW,5.58,19734,commercial,43,7,108,1878,5,2791,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0a59a8748f1a0307,10,0.02,LOW,0.0,20544,navigational,31,6,102,0,5,2841,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_0ba7a5c163728d00,0,0.0,LOW,0.0,19767,informational,31,6,103,0,0,2856,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0c86ecb7cc4d18aa,10,0.0,LOW,0.0,20111,commercial,31,5,106,0,8,2918,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_0ca8c85b566b71d0,40,0.12,LOW,0.0,21113,informational,34,6,95,28,8,3155,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-06-01,134,29
client_ccdd78843409c8c7,content_0e34b9d72008ed33,0,0.0,LOW,0.0,22485,informational,38,4,100,0,0,3093,keyword article,google,gemini-3-flash-preview,2026-03-12,2026-05-20,110,41
client_ccdd78843409c8c7,content_0f2819e71daf2114,10,0.12,LOW,0.0,20963,informational,33,5,105,1872,5,2994,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_0f544ae848c69994,10,0.0,LOW,0.0,20074,informational,29,6,101,0,5,2865,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_11124f2385afa571,10,0.0,LOW,0.0,18155,informational,37,7,104,0,10,2562,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_117eb759262677ad,0,0.0,LOW,0.0,18234,informational,50,8,97,0,0,2553,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_12c7ecfe0ae16c98,10,0.33,MEDIUM,7.79,18166,informational,34,7,100,451,5,2580,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_143aa0f9eed0c567,10,0.18,LOW,0.0,21431,informational,40,7,100,0,7,3021,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_14b08062247dac7e,10,0.0,LOW,0.0,21712,informational,38,5,103,127,8,2994,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_14e669e828f2fe1f,10,1.0,HIGH,0.0,19315,informational,25,4,95,0,5,2818,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_14e90b300216c504,10,0.05,LOW,0.0,18598,informational,34,6,119,0,8,2594,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_16a50b10c6dcced0,30,0.06,LOW,0.0,21965,informational,28,5,102,741,3,3264,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_17be7947b1d2cbd8,10,0.0,LOW,0.0,19924,commercial,35,7,106,0,5,2835,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_187ffe7a966625f4,20,0.01,LOW,0.0,18069,commercial,41,8,104,167,5,2644,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_18c28360ec43c013,10,0.95,HIGH,14.56,20103,informational,33,6,97,0,5,2766,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1965ae7b3476b6fb,0,0.0,LOW,0.0,20746,informational,29,5,95,0,0,3052,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1aa8471d08a0e0ad,20,0.02,LOW,0.0,21379,informational,38,5,100,1,8,3027,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_1afe19a3ad4872fc,10,0.11,LOW,0.0,18818,informational,44,8,91,399,8,2656,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1afe1f27a0c5a6c8,10,0.62,MEDIUM,0.0,18766,informational,28,5,99,0,8,2622,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1bab29d08484a5a6,10,0.0,LOW,0.0,19581,informational,36,6,94,0,8,2803,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_1cb4e90a326be988,10,0.0,LOW,0.0,20446,commercial,38,6,108,0,5,2876,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1d815bf39fa9a447,0,0.0,LOW,0.0,19032,informational,38,7,107,0,0,2776,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_1dfe2ca7d1c8aadb,10,0.0,LOW,0.0,21216,navigational,31,5,98,0,5,2926,keyword article,google,gemini-3-flash-preview,2026-03-12,2026-05-20,110,41
client_ccdd78843409c8c7,content_1e9338c5cfe9f270,10,0.0,LOW,0.0,17271,commercial,36,7,103,0,2,2574,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_1eb17e3b4a82db8c,10,0.0,LOW,0.0,19355,informational,52,9,95,0,2,2778,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-05-20,134,41
client_ccdd78843409c8c7,content_1efd04e353752b7e,10,0.0,LOW,0.0,19550,transactional,36,7,101,69,8,2828,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-06-01,134,29
client_ccdd78843409c8c7,content_20ba3bf6dcc8e33d,30,0.63,MEDIUM,0.0,21375,informational,39,6,102,2863,5,3150,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
client_ccdd78843409c8c7,content_20ca55a3c52dfb37,110,0.02,LOW,0.0,19831,commercial,30,6,96,388,2,2822,keyword article,google,gemini-3-flash-preview,2026-02-16,2026-06-01,134,29
client_ccdd78843409c8c7,content_21895a519b1af7ce,10,0.0,LOW,0.0,19583,informational,30,6,101,0,2,2824,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-07-01,126,-1
client_ccdd78843409c8c7,content_2348a133493e6c20,390,0.07,LOW,8.14,21006,informational,44,6,112,108,8,3036,keyword article,google,gemini-3-flash-preview,2026-03-12,2026-05-20,110,41
client_ccdd78843409c8c7,content_240b7892d02fe359,10,0.04,LOW,0.0,20848,informational,41,8,110,0,5,3023,keyword article,google,gemini-3-flash-preview,2026-02-24,2026-06-01,126,29
